"","V1"
"Accuracy",0.725490196078431
"Kappa",0.449074074074074
"AccuracyLower",0.582552476950803
"AccuracyUpper",0.841072734613586
"AccuracyNull",0.529411764705882
"AccuracyPValue",0.00334698597496685
"McnemarPValue",1
