"","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38"
"Accuracy",0.764705882352941,0.647058823529412,0.686274509803922,0.725490196078431,0.686274509803922,0.725490196078431,0.686274509803922,0.705882352941177,0.705882352941177,0.725490196078431,0.764705882352941,0.823529411764706,0.764705882352941,0.725490196078431,0.705882352941177,0.784313725490196,0.784313725490196,0.764705882352941,0.705882352941177,0.745098039215686,0.764705882352941,0.705882352941177,0.705882352941177,0.686274509803922,0.764705882352941,0.705882352941177,0.784313725490196,0.784313725490196,0.764705882352941,0.764705882352941,0.705882352941177,0.725490196078431,0.705882352941177,0.705882352941177
"Sensitivity",0.708333333333333,0.75,0.833333333333333,0.875,0.833333333333333,0.875,0.791666666666667,0.791666666666667,0.791666666666667,0.791666666666667,0.833333333333333,0.875,0.75,0.791666666666667,0.791666666666667,0.708333333333333,0.75,0.75,0.791666666666667,0.75,0.75,0.708333333333333,0.75,0.75,0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.791666666666667,0.833333333333333,0.791666666666667,0.75,0.791666666666667,0.791666666666667
"Specificity",0.814814814814815,0.555555555555556,0.555555555555556,0.592592592592593,0.555555555555556,0.592592592592593,0.592592592592593,0.62962962962963,0.62962962962963,0.666666666666667,0.703703703703704,0.777777777777778,0.777777777777778,0.666666666666667,0.62962962962963,0.851851851851852,0.814814814814815,0.777777777777778,0.62962962962963,0.740740740740741,0.777777777777778,0.703703703703704,0.666666666666667,0.62962962962963,0.703703703703704,0.666666666666667,0.740740740740741,0.740740740740741,0.740740740740741,0.703703703703704,0.62962962962963,0.703703703703704,0.62962962962963,0.62962962962963
"Precision",0.772727272727273,0.6,0.625,0.65625,0.625,0.65625,0.633333333333333,0.655172413793103,0.655172413793103,0.678571428571429,0.714285714285714,0.777777777777778,0.75,0.678571428571429,0.655172413793103,0.80952380952381,0.782608695652174,0.75,0.655172413793103,0.72,0.75,0.68,0.666666666666667,0.642857142857143,0.714285714285714,0.666666666666667,0.740740740740741,0.740740740740741,0.730769230769231,0.714285714285714,0.655172413793103,0.692307692307692,0.655172413793103,0.655172413793103
"Balanced accuracy",0.761574074074074,0.652777777777778,0.694444444444444,0.733796296296296,0.694444444444444,0.733796296296296,0.69212962962963,0.710648148148148,0.710648148148148,0.729166666666667,0.768518518518519,0.826388888888889,0.763888888888889,0.729166666666667,0.710648148148148,0.780092592592593,0.782407407407407,0.763888888888889,0.710648148148148,0.74537037037037,0.763888888888889,0.706018518518519,0.708333333333333,0.689814814814815,0.768518518518519,0.708333333333333,0.787037037037037,0.787037037037037,0.766203703703704,0.768518518518519,0.710648148148148,0.726851851851852,0.710648148148148,0.710648148148148
