"","V1"
"Accuracy",0.764705882352941
"Kappa",0.529953917050691
"AccuracyLower",0.625069491640141
"AccuracyUpper",0.872091899748172
"AccuracyNull",0.529411764705882
"AccuracyPValue",0.000466721471749601
"McnemarPValue",0.772829992684448
