"","X0","X1","X5","X22","X41","X75","X109"
"1",0.446457699549134,0.455853039406266,0.403427806137226,0.48442740647984,0.359966607533058,0.147731161648934,0.308958805711564
"2",0.457239846016791,0.470256330721013,0.406295262813193,0.483211028005352,0.349429519264182,0.0952569123820144,0.265488643581337
"3",0.432852779663928,0.435288591114769,0.364891244564864,0.462543945290932,0.29859967231565,0.116379445682726,0.23013712934142
"4",0.435864639654242,0.436346881211443,0.385470390872966,0.468381810465989,0.333165135183461,0.142623803339672,0.282861985592186
"5",0.406518439422962,0.403640543325946,0.358363858816029,0.424394317210941,0.328543687131865,0.172882494624102,0.31057010150153
"6",0.438593402431124,0.450433899862449,0.394465268808572,0.503009418360851,0.329516611740539,0.123515176066629,0.250577739202533
"7",0.466109382957695,0.47988820564826,0.444234778130222,0.530594538833867,0.390860576700724,0.152178681751305,0.326280305657505
"8",0.427082095599128,0.438305225581581,0.396283862087454,0.491793416263089,0.343216360273752,0.134432818324578,0.283438471364225
"9",0.428125439203778,0.485982917166554,0.504549708637144,0.576836564019805,0.482221848690295,0.235954860271245,0.428289957935421
"10",0.431485411621522,0.458893619751647,0.448810734676677,0.525392661493596,0.403015075281892,0.136378864736598,0.312826206084098
"11",0.421398213126371,0.424408208207573,0.368080922034587,0.435049601375715,0.32136304453049,0.102937479279907,0.26514374946157
"12",0.456610908182447,0.471147016242252,0.447067089597248,0.540267380287477,0.397797054845279,0.150337293873513,0.308241131137465
"13",0.437200379663456,0.44970537269229,0.444188201391192,0.520421243655449,0.406584176092095,0.163971932289291,0.352350400723788
"14",0.459456253493469,0.478115981475657,0.438255466404997,0.524200882515241,0.398112213389039,0.221592001301908,0.3540349812953
"15",0.387293857692086,0.37088860970156,0.232258470032155,0.317724786379015,0.183753777717231,0.102230208927089,0.176606715573618
"16",0.453585858039873,0.476058121777998,0.460601110444757,0.531766588808082,0.437600790498374,0.242622147217222,0.416291239217171
"17",0.458737156175405,0.494342265286664,0.469703367941947,0.542187585338202,0.434248322637671,0.208602095494448,0.399380264779115
"18",0.455229553023768,0.434156503559645,0.361650836794445,0.440532668327018,0.316412122695978,0.107981597892409,0.254393278144609
"19",0.440097382852504,0.435127417477395,0.399469106695979,0.482168682996979,0.352146971499905,0.131526279018544,0.295032539189105
