"","V1"
"Accuracy",0.705882352941177
"Kappa",0.419134396355353
"AccuracyLower",0.561711277853177
"AccuracyUpper",0.825119643215654
"AccuracyNull",0.529411764705882
"AccuracyPValue",0.0078117184651908
"McnemarPValue",0.121335250358483
