"","V1"
"Accuracy",0.686274509803922
"Kappa",0.378995433789954
"AccuracyLower",0.541127097379392
"AccuracyUpper",0.80889602852242
"AccuracyNull",0.529411764705882
"AccuracyPValue",0.0167411834456388
"McnemarPValue",0.211299547333711
