"","V1"
"Accuracy",0.725490196078431
"Kappa",0.44131455399061
"AccuracyLower",0.582552476950803
"AccuracyUpper",0.841072734613586
"AccuracyNull",0.529411764705882
"AccuracyPValue",0.00334698597496685
"McnemarPValue",0.18144920772142
