"","Samplenumber","Object","X941.1","X948.12","X955.13","X962.15","X969.17","X976.19","X983.21","X990.23","X997.25","X1004.27","X1011.29","X1018.32","X1025.34","X1032.36","X1039.39","X1046.41","X1053.44","X1060.47","X1067.5","X1074.52","X1081.55","X1088.58","X1095.61","X1102.64","X1109.67","X1116.71","X1123.74","X1130.77","X1137.81","X1144.84","X1151.88","X1158.91","X1165.95","X1172.99","X1180.02","X1187.06","X1194.1","X1201.14","X1208.18","X1215.23","X1222.27","X1229.31","X1236.35","X1243.4","X1250.44","X1257.49","X1264.53","X1271.58","X1278.63","X1285.67","X1292.72","X1299.77","X1306.82","X1313.87","X1320.92","X1327.98","X1335.03","X1342.08","X1349.14","X1356.19","X1363.25","X1370.3","X1377.36","X1384.42","X1391.47","X1398.53","X1405.59","X1412.65","X1419.71","X1426.77","X1433.83","X1440.9","X1447.96","X1455.02","X1462.09","X1469.15","X1476.22","X1483.29","X1490.35","X1497.42","X1504.49","X1511.56","X1518.63","X1525.7","X1532.77","X1539.84","X1546.91","X1553.99","X1561.06","X1568.13","X1575.21","X1582.28","X1589.36","X1596.44","X1603.52","X1610.59","X1617.67","X1624.75","X1631.83","X1638.91","X1645.99","X1653.08","X1660.16","X1667.24","X1674.33","X1681.41","X1688.5","X1695.58","X1702.67","X1709.76","X1716.85","X1723.94","Filenumber","Session","Polluted","ENERGY","VETTEN","VERZADIGDE","ONVERZADIGDE","EIWITTEN","ZOUT","GLUCIDE"
"1",1,1,0.320352493184239,0.324034713826407,0.322374195421193,0.315976851347609,0.310797723178668,0.308315702871146,0.307258010297791,0.306101800660045,0.305167722388952,0.305149263572746,0.306002627287162,0.307724050860937,0.310254768801321,0.313506899571541,0.316724497535453,0.319789271561404,0.322617154964033,0.325303326450951,0.327168176502777,0.328311648479632,0.328542666884305,0.327973758921035,0.32709298440051,0.325100047527518,0.322973435753247,0.32080012706393,0.317880779007741,0.313268634776606,0.30373762841228,0.286428134501324,0.264274214029841,0.24385043179069,0.228716840972759,0.216442759452888,0.208043641543042,0.200188781907553,0.191401892202305,0.185293507798314,0.181236293236553,0.177381172543041,0.178902383596908,0.191025716169499,0.207455718016609,0.21970693135005,0.227848087766468,0.23338655239642,0.23717702899484,0.239929080476971,0.241122844904542,0.241273816324994,0.240653520005339,0.238756499211235,0.235624748559498,0.231014167259571,0.224319210396251,0.215891022077326,0.20560035032314,0.194448741413687,0.183148257975902,0.172056969823491,0.161497918685964,0.151453649838952,0.140643037093709,0.126447139955506,0.107715743849408,0.0871442166880718,0.070539265906943,0.0587495237827649,0.0512180830253576,0.0473733106166769,0.0448077651191981,0.0433645593921851,0.0424867324880458,0.04193326764902,0.0418286412670642,0.0418717130193959,0.042257319704624,0.0430967152955468,0.0442520922260631,0.0457020025442454,0.0475071891860328,0.0492448402685923,0.0515882191274125,0.0538437375102658,0.0561380889376014,0.0588888485540662,0.0613812891718338,0.0641150664491714,0.0668487767564777,0.0693281471786215,0.0719411342499984,0.0745863906607339,0.0770495372990517,0.0797823631916844,0.0822235365321563,0.0845574653607382,0.0871452879945321,0.0891897832280228,0.0913302606332244,0.0933103740966289,0.0948858300314544,0.0967470849036623,0.0976463867026788,0.0973100766162389,0.0957291507604864,0.0930600825183786,0.0903636935718134,0.0887926172207693,0.089776190255246,0.0932406252054298,0.100883094996456,0.110972387558737,9.74949350880889,1.10293521775069,0,396.339778602571,32.6324899917341,21.4868522990648,NA,25.0442308627368,2.19412956449861,0.617611306504157
"2",1,2,0.35637725370102,0.363589732222282,0.362491838789705,0.355246714262128,0.34992617823886,0.347860809007711,0.347117728124328,0.346936406890624,0.347511783181518,0.348276299414719,0.350851373472411,0.353082416897868,0.355877159293743,0.359436756071106,0.362714261009119,0.365608044842328,0.368674240786753,0.371454445768186,0.373800512969172,0.375305970331055,0.375996243755014,0.375982528210678,0.375339565410918,0.374005004974199,0.372200973036235,0.370051260952598,0.367265365824307,0.361898252827051,0.349940185055104,0.328647819067915,0.301290828212015,0.276258209029209,0.257778289695713,0.24304433246384,0.233104215238133,0.223959009409323,0.213449498876452,0.206554914693069,0.201917048725545,0.19736803170789,0.198738299424423,0.212084570653606,0.230221422805345,0.244028577134015,0.253259324173435,0.259989193021406,0.26481953249218,0.268000271537725,0.269628545490764,0.270071646344597,0.269490069426569,0.267448426221202,0.263356453877042,0.257681513481685,0.249502895340134,0.238883045256088,0.226383537726679,0.212812904494034,0.199142301483775,0.186337592234583,0.174057105840166,0.162509890311894,0.150153410737648,0.133892034826728,0.112381998223173,0.0889030464899004,0.0695300400352201,0.0560518521759397,0.0473654095722462,0.0427498494475222,0.0397218283905568,0.0379048532051173,0.0367148768882624,0.0361431424201746,0.0358584714125474,0.0359399393517574,0.0363534191806634,0.037429787801067,0.0388595894994069,0.0405171455905744,0.0424701879351385,0.044644611555623,0.0472568908822565,0.0499701112766539,0.0526293447319462,0.0556502280698702,0.058655673912889,0.0616625987504975,0.0647810841801885,0.0677085063978933,0.0706444075913185,0.0736918189189184,0.0765062022754589,0.0794330131095353,0.0823413163920695,0.0850791121833537,0.0876827488641086,0.0899349670735346,0.092262830371422,0.0945374371494076,0.0962976364083684,0.0982430211018095,0.0994972160493206,0.099287790295814,0.0976592545631518,0.0951801420598732,0.0924919080944935,0.0909542788282875,0.092315218960735,0.0957998076715922,0.10335400736075,0.114402744631641,14.8075048311269,1.16244123330738,0,380.92772057339,31.2638516339304,20.6121138703816,NA,23.9136165671599,2.07511753338525,0.97464739984425
"3",1,3,0.281968696280193,0.283215247929438,0.281583987444923,0.276549860283582,0.272770684841,0.271219211400515,0.270390298292344,0.269594369293955,0.269223411777282,0.269301550939485,0.270262405827981,0.271408450886387,0.273073679860538,0.275272595904338,0.277331407323352,0.279167622190203,0.281007190600725,0.282752628023043,0.284043015592284,0.284772810334823,0.284986516748471,0.284706881614007,0.284358547722498,0.28314943113431,0.281940983637049,0.280583681958871,0.278663824784848,0.275181658634867,0.267365551530428,0.252891189335875,0.233779543102173,0.215657622190911,0.20177553064125,0.190257118543424,0.182372517047343,0.174986756867927,0.166498895594465,0.160804534406587,0.15682199866417,0.153168930435659,0.154662057039938,0.166411127597942,0.182011997184616,0.193724508862661,0.201386836486479,0.206723609146589,0.210463548238394,0.213040769876001,0.214331623609863,0.214749182392874,0.214498560740548,0.213168649671065,0.21056505460893,0.206761677613243,0.201049145493339,0.193502925416093,0.184339616573748,0.174218987133043,0.163825185114796,0.15367505011203,0.143783499713335,0.134423123326104,0.124528296178692,0.111593971668137,0.0946676334755817,0.0763444187727773,0.0616481255861594,0.0514786437619928,0.0449650235446348,0.0417237940238091,0.0396129659446728,0.0384960124061721,0.037794572751745,0.0374238746351308,0.0373413768650443,0.0374233078666452,0.0377239075350564,0.0384980269147438,0.0395460842274472,0.0407547280560114,0.0422668646374078,0.0438778558065124,0.0458933626068222,0.0479151542378065,0.049905553173552,0.0522742765597341,0.0545275379719908,0.0568756319197717,0.0592920132088283,0.0615305115460683,0.0638392742408597,0.0661816720573059,0.0684003118283707,0.0708065118527335,0.0731052996918206,0.0752580832120415,0.0775117860123218,0.0793315714311754,0.0812684777169817,0.0831337536954765,0.0845609189032971,0.0862507520217771,0.0870926055309789,0.0866737102884237,0.0849926093476646,0.0823996832621454,0.0797014130312202,0.0782434885658627,0.0792927984465077,0.0825325527296246,0.0900002212287534,0.0997252894241788,4.19412993934805,1.03757799928645,0,413.26729818481,34.1357060164117,22.4476034104892,NA,26.2860180135575,2.3248440014271,0.225467995718685
"4",2,1,0.499654779011792,0.515741739434833,0.51495554581818,0.503543994221968,0.494943729457268,0.491530241440399,0.490973303012318,0.492274282475394,0.494665721011933,0.497608768369904,0.502280842123673,0.506533619712395,0.511715578479831,0.517452989229841,0.522873670699562,0.527722758581036,0.532545347488657,0.536852585043873,0.540136920979884,0.542198347764405,0.542842115708816,0.5422939596529,0.5408980885389,0.538474249561595,0.535560757668871,0.532424484971304,0.528581626084143,0.521598812168671,0.506023752796671,0.477663199517889,0.442106213683678,0.410791031141097,0.389366692621004,0.373072184837838,0.362192437229854,0.352140065268569,0.34022198767034,0.331984431506256,0.326319728917759,0.320943811776725,0.322218794021749,0.336915506230621,0.356933162320812,0.372042281940083,0.382290411935013,0.389880818742074,0.39545996585577,0.399292685202228,0.401258907003484,0.401580004404438,0.40043369595744,0.397158035236793,0.391530007575609,0.383361474877158,0.372164587170783,0.358075828065903,0.341733514094509,0.32443630584501,0.30752119354336,0.292032343660843,0.277806461928422,0.264070888928843,0.248277728131635,0.226291047156811,0.195563627222476,0.160110073491824,0.128703861903832,0.105434561482552,0.0897647259093961,0.0806294010478514,0.0745866181303507,0.0707562681220789,0.0682741365171522,0.0668362428530309,0.0661919255686694,0.0662568916560438,0.0674360438722774,0.0698573281087935,0.0729462942935276,0.0767597374560426,0.0811674869755859,0.0860347217128636,0.0915183847471897,0.0971621165947971,0.10286001640985,0.109110945611315,0.115207912868568,0.121502821635264,0.127665704531072,0.133687923127739,0.139575538532428,0.145333175763804,0.150820308070434,0.156281671836138,0.161474257375856,0.166274266199345,0.171071682842567,0.175292341036575,0.17934721294106,0.18328901685804,0.186553987760652,0.189778066611591,0.191920877183929,0.192503501429978,0.190944638122832,0.187439360370828,0.182821298662221,0.177582526617693,0.174896156127196,0.174660616770416,0.177567731037712,0.185046741239411,24.3634793870063,1.24242237365484,0,299.181924701674,24.7575776263452,16.5151552526903,NA,16.3333538897968,1.87333662236749,2.68181986371065
"5",2,2,0.48710522427617,0.50189027611856,0.501016039669574,0.490812859489953,0.48367373263257,0.480837809780455,0.479652166413591,0.478698159897281,0.478586214597759,0.479198095766982,0.481285066171988,0.484818419543911,0.489718089448202,0.495670087505236,0.50159393576528,0.506987442660623,0.512235126378057,0.516878335973338,0.520281918955718,0.522407710907974,0.522939710190585,0.522076575901005,0.520392734731644,0.517456701187809,0.51394907605887,0.510389434313925,0.505945648423101,0.498796263255552,0.483847114714025,0.456864221926016,0.423252719290797,0.393721883466528,0.373838025370067,0.359121506845184,0.349458724871505,0.340233387429167,0.329402688727552,0.321649042834393,0.316637345052142,0.311711778565811,0.313382905206996,0.328123464760901,0.347791319540263,0.362274186282325,0.372088071650839,0.379184897495978,0.38413035517933,0.38778917906628,0.389257264981896,0.38916110019522,0.38774591259314,0.384145896218602,0.37855546166528,0.370499250367766,0.359555260454585,0.346024486784004,0.330148865558558,0.313451838400864,0.297116480035861,0.282025781291174,0.268197157550791,0.254878272632537,0.239390333626989,0.217836501741204,0.187808234537016,0.153152060367711,0.122689465604292,0.100218063400191,0.085354088845437,0.0769065717549391,0.0714546235891587,0.0679653512064334,0.065864558681024,0.0646209003003642,0.0640097872887728,0.0642883726606759,0.065531024426006,0.0679164961499201,0.0709037131760809,0.0746072505646594,0.0789084405044586,0.0835105305323682,0.0888518622152541,0.0944567831747602,0.0998894872057673,0.10597219889213,0.111799382512854,0.117926251697496,0.12402483706048,0.129699703714111,0.135427290150595,0.141120880579776,0.146413955783809,0.151873425389993,0.156900412794358,0.161527982341838,0.166320760717188,0.170327623712567,0.174345867536878,0.178140582252017,0.18116133750655,0.184245345034601,0.186248868062144,0.186404237648576,0.18467529077012,0.180801937286773,0.175970920720436,0.170805458217666,0.168187215807665,0.167923751015315,0.171417987844337,0.179072539692631,22.4223017517423,1.21931311609217,0,300.499152382746,24.7806868839078,16.5613737678157,NA,16.5875557229861,1.91400891567778,2.70261819551705
"6",2,3,0.463041139678719,0.477566251415517,0.477501776033776,0.467965999580728,0.461332527971863,0.459128108827206,0.458967985139514,0.460194716602903,0.46224181574495,0.46442673490892,0.468434536356992,0.472026558761476,0.476394731579401,0.481304199566842,0.485798387515765,0.489795832953817,0.493820572893229,0.497327649637729,0.500033098648089,0.501756335711239,0.502230008755556,0.501853768470142,0.500726168112196,0.498731050342486,0.496313091281567,0.493641144374706,0.490389855408527,0.484364043328424,0.470533986487017,0.445260492505309,0.413164154822921,0.384493896901893,0.364766431907311,0.349907969414415,0.339953397493016,0.330600789942201,0.319329347169723,0.311599471509492,0.30624578934125,0.301319162556725,0.302910075134519,0.317229761995138,0.33626975303591,0.350436277651075,0.359962318101915,0.36709240628819,0.372294806642382,0.375777775606294,0.377552610695935,0.377879072737721,0.376834794570801,0.373896937778194,0.368644746690315,0.361154227666111,0.350781351177392,0.337559986944264,0.322198998557819,0.305892643163024,0.289808553810085,0.27505307481456,0.261299204984991,0.248009787352999,0.232859526339051,0.21187575809081,0.182624604643929,0.149158624898058,0.119474730195789,0.097733740252426,0.0832442934839338,0.0750242922034035,0.0697322388971021,0.0663900962064897,0.0642329737790114,0.0631618640229792,0.0625790201679076,0.0628332708058023,0.0640529971328024,0.066354887687854,0.0693076677476753,0.0729700072197893,0.0770741282895856,0.0817831549046412,0.0869737281323775,0.0923401856075815,0.0977886544113247,0.103615755608271,0.109333544572879,0.115328198853752,0.121094771622087,0.126838124771778,0.132360206756426,0.137703011314084,0.142940289234336,0.148010133856098,0.152936309539923,0.157522316107182,0.161856892530575,0.165841432192436,0.169575408347015,0.173186224122644,0.176088337992561,0.178928354088619,0.180726150982385,0.181036230268056,0.179035583475126,0.175348019117961,0.170771423597612,0.165445549294685,0.16253223477879,0.161716936555803,0.164126601029995,0.170961025224301,21.5803786350921,1.20929022184633,0,301.070457354759,24.7907097781537,16.5814195563073,NA,16.6978075596903,1.93164920955045,2.7116388003383
"7",2,4,0.445604304341878,0.457240828350992,0.457282230366662,0.449748775245733,0.444571678212841,0.44213092478303,0.439052771186095,0.433948767862041,0.429709803598472,0.427371069613798,0.427388541687535,0.42935773202657,0.432703271341464,0.437125791361942,0.441538501638511,0.445480280255548,0.449156461722376,0.452305395856536,0.45435480542031,0.455386768189611,0.455257883089072,0.454054953314056,0.452513243217943,0.450054205881027,0.447299035429576,0.444676521980373,0.441145075537726,0.43540093078883,0.423226942866771,0.400397858657543,0.370961535718125,0.34417207704502,0.325513597622118,0.311136677317396,0.301465214981892,0.292228833350608,0.281681371891001,0.274132703601932,0.269322148086349,0.264601812675232,0.266532272319442,0.281226402016954,0.300557250534437,0.314682489166353,0.324134979649882,0.330679139673743,0.335163092857781,0.338513000382336,0.339830274434371,0.339755681241177,0.3386098187293,0.335578113099474,0.330909112662732,0.323922298403905,0.314204103739062,0.302135412506159,0.287753548978467,0.272469875249505,0.257313488960277,0.243083970303515,0.229972204548758,0.217347555965552,0.203076332395749,0.183730022154062,0.157283300910731,0.127437670783748,0.102189074991213,0.0838883167501941,0.0720010448015776,0.0656058173138678,0.0615413629159846,0.0590880255405685,0.0578204893102194,0.0569532787128753,0.0566637102586655,0.0568626810652746,0.0577697836397922,0.059568345450922,0.0616986436444019,0.0644091006776898,0.0676610342737322,0.0709741407891669,0.0750866215887878,0.0793677488229736,0.0834175106225559,0.0881607494231186,0.0926553571072309,0.0973452815084191,0.102164800705865,0.106484312710829,0.11098556555848,0.115568369624305,0.119775450324817,0.12432050679539,0.128477371013481,0.132256874165357,0.13642905369313,0.139775705009647,0.143266145877446,0.146605644369098,0.149152569825305,0.151850923786713,0.153430704017086,0.153142602835752,0.151193972050248,0.14712153902186,0.142458107501631,0.138160143732844,0.137149205773305,0.138853521196334,0.14424878083714,0.15382135311042,4,1,0,313,25,17,NA,19,2.3,2.9
"8",3,1,0.360646666409544,0.369410579199931,0.368825382991064,0.361246062610684,0.355175868243045,0.352835394831059,0.354614555802335,0.360348359366199,0.366780110847932,0.371127606098402,0.375162164363192,0.377774081386669,0.380670937028377,0.383948103592562,0.38697687506997,0.389770252948082,0.392548089023315,0.395192698450423,0.397272997495644,0.398653321317123,0.399245214355235,0.399243598365817,0.398805243621881,0.397822559330454,0.396574292549657,0.395075920658974,0.39305955745927,0.388868506119932,0.37909646370877,0.360683578406922,0.336583767195975,0.314061072600822,0.296971553180418,0.282467190788796,0.272574067422596,0.263185008131642,0.252110571714128,0.244849078051138,0.239892340827639,0.234664706328914,0.23556150102324,0.249517726575987,0.268976999455905,0.283518738378804,0.293213177902259,0.300308004708741,0.305403658217345,0.308848070969186,0.310694530955819,0.311430210947465,0.31130199473628,0.309662989166929,0.306270597990311,0.301258259348711,0.293789797238184,0.283960553955816,0.27219129537472,0.259088618884363,0.24566102861475,0.232501737856584,0.219638390836084,0.207228175995408,0.19352893751484,0.175131726013372,0.150146131956091,0.121747463400614,0.097659476097898,0.0803234108592643,0.0686981154419259,0.0623341777535531,0.0583795289490188,0.055828601612625,0.0543508313250123,0.0535254137319951,0.0531203259853506,0.0532667500451103,0.0539821551863702,0.0554880423245223,0.0574358880051455,0.0597805735241571,0.0626267320003522,0.065789014789894,0.0695099109131139,0.073308055002665,0.0772441436808302,0.0816313103532628,0.0859148654327265,0.0904634212146066,0.0950393835696967,0.0994086445417968,0.103759556078806,0.107977303589949,0.1121125237357,0.116317252024151,0.120370513471244,0.124082198917484,0.127817527082781,0.131025110271551,0.134073864125493,0.137044844576495,0.139448665496628,0.141850901072784,0.143212660129552,0.142658732886447,0.139673363086495,0.135130329392775,0.129864260453492,0.125276069549688,0.123558234287765,0.124263168606573,0.128510529881384,0.137582016656119,19.2049068605179,1.15720127214902,0,368.158109950023,31.1088141753748,21.4577010449796,NA,21.3061790095411,1.55283961835529,0.707405724670604
"9",3,2,0.337793813463007,0.343921862135294,0.342609050702199,0.335489241969092,0.32969866192537,0.327227246483551,0.328340346903641,0.332245755823948,0.336898716193454,0.340041607060551,0.342401655569351,0.344836747509979,0.34781699069812,0.351580366861655,0.355312584463453,0.35867335945014,0.361964342083892,0.364992443095883,0.367212964717094,0.368704997609999,0.369111461735453,0.3686103365558,0.367842995208378,0.366178146753757,0.364271801830092,0.36233676050393,0.359842047763078,0.355616164761293,0.346453751529069,0.329506979852371,0.308020792927749,0.288270945200438,0.273822307235581,0.262272372961359,0.254370185412991,0.246812927831433,0.238173874572953,0.232130533803612,0.228204598566571,0.224186169241528,0.225438345374639,0.237439953164052,0.253799493674908,0.265954113968714,0.274300863204898,0.280032523215976,0.284040973694214,0.287063573336885,0.28846033120434,0.288713581232884,0.288236804831099,0.286393662008713,0.283337850448499,0.278641573404203,0.27185311562326,0.26332124217999,0.252864339626444,0.241639238978864,0.230063961022665,0.218715376133552,0.207919789486045,0.19733813176542,0.185668055309909,0.169965488802376,0.148621389399,0.12475153817596,0.104779444802559,0.0903536011414808,0.0810000826344788,0.0759771444989334,0.0727112048268489,0.0708479558160818,0.069697404057737,0.0689093846906672,0.0687726220365955,0.0689688705645887,0.0695002823865366,0.0708770385269526,0.0726744123528787,0.0747392682830332,0.0772937211674009,0.0799025674419167,0.0831716795385524,0.086564127144624,0.0899121496449239,0.09389700675514,0.097578834968391,0.101565457506312,0.105620809120118,0.109332245454172,0.113135168504085,0.11704646441641,0.120554151738654,0.124417855378689,0.127936410882475,0.131159228895042,0.134626500773948,0.137410676762418,0.140260254430115,0.142973351180121,0.14505791648255,0.147281888976185,0.148528104227958,0.148098825448865,0.145880544255614,0.141742690958352,0.137132636708086,0.132874963338322,0.130684497005051,0.130875615832845,0.133936884448389,0.139980919440123,18.5601103985713,1.14952512379252,0,369.908271775306,31.2646399870119,21.5720756554915,NA,21.4328354574235,1.55514246286225,0.67286305706632
"10",3,3,0.302860853878714,0.309467457846914,0.30927038138232,0.303017314522265,0.298352027904491,0.296656669865837,0.297872079512858,0.301801086304058,0.306219034081271,0.308899939872757,0.312004173614772,0.314021698723268,0.316323686885387,0.31907463291226,0.321559277859342,0.32384099404939,0.326163370410776,0.328333616803952,0.330048450428777,0.331204256311646,0.331703378631679,0.331751186533942,0.331373384442365,0.330500800387859,0.329369476203022,0.328013097132284,0.326216957140389,0.322590392880524,0.314141381769904,0.298625884533096,0.278590703461663,0.260049723722189,0.246305242795503,0.235036379177451,0.227387036684121,0.220096037026133,0.211470347955654,0.205841819505257,0.202016753010516,0.198125355511189,0.199083029213631,0.210094275917136,0.225131094782185,0.236330298339864,0.243849661469728,0.249419923281811,0.253493380820117,0.256187370104075,0.2576291761405,0.258155487632781,0.257955501098446,0.256526747067828,0.253512542715405,0.24927659063046,0.242982218013823,0.234715088677037,0.224921314587378,0.214105323196063,0.203025458286776,0.192333882558622,0.181897694379862,0.171732695298139,0.160598120286466,0.145580909090173,0.125130235398639,0.102014553427779,0.0823143837021078,0.0681614960544965,0.0586821652824115,0.053555923145611,0.0503267659882858,0.0482249532569943,0.0469843779317096,0.0463154299899366,0.0459366913352015,0.0460945348381926,0.0466875615445018,0.0479770237191244,0.0497165865940908,0.0517283462939813,0.0541834757865273,0.0569508616036683,0.0600440196556074,0.0632739635334518,0.0666359077861233,0.0703239804150872,0.0738949636739419,0.0777591211857454,0.0815326858858931,0.085235704545352,0.0888610126428072,0.0923498755531738,0.0958039879110646,0.0992500428932292,0.102649764873671,0.105725731845123,0.10870540830803,0.111381294387508,0.113869255989802,0.116315944588594,0.118236013956636,0.12019403005988,0.121353064888854,0.121076651418522,0.118735571739938,0.115162485857795,0.11112983604185,0.107597450858746,0.106506601953996,0.107038692986403,0.110494653573169,0.117801872736239,19.4100166517228,1.15964305537765,0,367.601383373895,31.0592459758337,21.421318474873,NA,21.2658895862687,1.5521070833867,0.718393749199437
